Name,No_features,No_instances,Accuracy,Precision,Recall,F1_Score,Split_points,Train_set_size,Min_instances_node,Run_time,Memory_use
Iris,4,150,0.8133333333333334,0.8543096872616324,0.8333333333333334,0.8436911487758946,3,0.5,1.5,150.67,0.238577
Iris,4,150,0.8133333333333334,0.8543096872616324,0.8333333333333334,0.8436911487758946,3,0.5,0.75,151.09,0.068828
Iris,4,150,0.8133333333333334,0.8543096872616324,0.8333333333333334,0.8436911487758946,3,0.5,0.375,150.87,0.070476
Iris,4,150,0.8133333333333334,0.8543096872616324,0.8333333333333334,0.8436911487758946,3,0.5,0.15,167.43,0.061969
Iris,4,150,0.8133333333333334,0.8543096872616324,0.8333333333333334,0.8436911487758946,3,0.5,0.075,147.19,0.067891
Iris,4,150,0.7,0.8461538461538461,0.7327898550724637,0.785402233,3,0.6,1.8,143.58,0.041825
Iris,4,150,0.7,0.8461538461538461,0.7327898550724637,0.785402233,3,0.6,0.9,152.36,0.038758
Iris,4,150,0.7,0.8461538461538461,0.7327898550724637,0.785402233,3,0.6,0.45,151.06,0.040736
Iris,4,150,0.7,0.8461538461538461,0.7327898550724637,0.785402233,3,0.6,0.18,152.84,0.037086
Iris,4,150,0.7,0.8461538461538461,0.7327898550724637,0.785402233,3,0.6,0.09,151.18,0.040014
Iris,4,150,0.6666666666666666,0.6924315619967795,0.6875,0.6899569688571221,3,0.7,2.1,146.22,0.039351
Iris,4,150,0.6666666666666666,0.6924315619967795,0.6875,0.6899569688571221,3,0.7,1.05,146.3,0.039925
Iris,4,150,0.6666666666666666,0.6924315619967795,0.6875,0.6899569688571221,3,0.7,0.525,157.12,0.040195
Iris,4,150,0.6666666666666666,0.6924315619967795,0.6875,0.6899569688571221,3,0.7,0.21,143.57,0.037764
Iris,4,150,0.6666666666666666,0.6924315619967795,0.6875,0.6899569688571221,3,0.7,0.105,148.52,0.038195
Iris,4,150,0.7,0.7000000000000001,0.6944444444444445,0.6972111553784861,3,0.8,2.4,152.46,0.040159
Iris,4,150,0.7,0.7000000000000001,0.6944444444444445,0.6972111553784861,3,0.8,1.2,155.5,0.037838
Iris,4,150,0.7,0.7000000000000001,0.6944444444444445,0.6972111553784861,3,0.8,0.6,153.63,0.037838
Iris,4,150,0.7,0.7000000000000001,0.6944444444444445,0.6972111553784861,3,0.8,0.24,153.58,0.038061
Iris,4,150,0.7,0.7000000000000001,0.6944444444444445,0.6972111553784861,3,0.8,0.12,150.05,0.042749
Iris,4,150,1,1,1,1,3,0.9,2.7,157.81,0.033405
Iris,4,150,1,1,1,1,3,0.9,1.35,149.72,0.03136
Iris,4,150,1,1,1,1,3,0.9,0.675,148.24,0.031336
Iris,4,150,1,1,1,1,3,0.9,0.27,147.69,0.031703
Iris,4,150,1,1,1,1,3,0.9,0.135,147.33,0.031193
Iris,4,150,0.7466666666666667,0.7678315412186381,0.7738095238095238,0.7708089421780854,4,0.5,1.5,168.43,0.029319
Iris,4,150,0.7466666666666667,0.7678315412186381,0.7738095238095238,0.7708089421780854,4,0.5,0.75,172.17,0.028998
Iris,4,150,0.7466666666666667,0.7678315412186381,0.7738095238095238,0.7708089421780854,4,0.5,0.375,170.38,0.028998
Iris,4,150,0.7466666666666667,0.7678315412186381,0.7738095238095238,0.7708089421780854,4,0.5,0.15,172.49,0.028998
Iris,4,150,0.7466666666666667,0.7678315412186381,0.7738095238095238,0.7708089421780854,4,0.5,0.075,157.25,0.030379
Iris,4,150,0.6166666666666667,0.6376385336743393,0.65010352,0.6438106978675525,4,0.6,1.8,166.86,0.03182
Iris,4,150,0.6166666666666667,0.6376385336743393,0.65010352,0.6438106978675525,4,0.6,0.9,169.35,0.036339
Iris,4,150,0.6166666666666667,0.6376385336743393,0.65010352,0.6438106978675525,4,0.6,0.45,158.33,0.029654
Iris,4,150,0.6166666666666667,0.6376385336743393,0.65010352,0.6438106978675525,4,0.6,0.18,176.75,0.029654
Iris,4,150,0.6166666666666667,0.6376385336743393,0.65010352,0.6438106978675525,4,0.6,0.09,177.21,0.029654
Iris,4,150,0.9111111111111111,0.9333333333333332,0.9166666666666666,0.9249249249249248,4,0.7,2.1,175.14,0.030651
Iris,4,150,0.9111111111111111,0.9333333333333332,0.9166666666666666,0.9249249249249248,4,0.7,1.05,171.04,0.030314
Iris,4,150,0.9111111111111111,0.9333333333333332,0.9166666666666666,0.9249249249249248,4,0.7,0.525,174.95,0.030198
Iris,4,150,0.9111111111111111,0.9333333333333332,0.9166666666666666,0.9249249249249248,4,0.7,0.21,162.85,0.030198
Iris,4,150,0.9111111111111111,0.9333333333333332,0.9166666666666666,0.9249249249249248,4,0.7,0.105,201.91,0.030198
Iris,4,150,0.9,0.9166666666666666,0.9166666666666666,0.9166666666666666,4,0.8,2.4,172.09,0.031071
Iris,4,150,0.9,0.9166666666666666,0.9166666666666666,0.9166666666666666,4,0.8,1.2,159.05,0.030518
Iris,4,150,0.9,0.9166666666666666,0.9166666666666666,0.9166666666666666,4,0.8,0.6,171.54,0.031085
Iris,4,150,0.9,0.9166666666666666,0.9166666666666666,0.9166666666666666,4,0.8,0.24,178.86,0.030518
Iris,4,150,0.9,0.9166666666666666,0.9166666666666666,0.9166666666666666,4,0.8,0.12,161.21,0.030518
Iris,4,150,0.8,0.8611111111111112,0.7301587301587302,0.7902466057079524,4,0.9,2.7,159.72,0.031286
Iris,4,150,0.8,0.8611111111111112,0.7301587301587302,0.7902466057079524,4,0.9,1.35,167.03,0.03133
Iris,4,150,0.8,0.8611111111111112,0.7301587301587302,0.7902466057079524,4,0.9,0.675,162.32,0.031286
Iris,4,150,0.8,0.8611111111111112,0.7301587301587302,0.7902466057079524,4,0.9,0.27,157.94,0.03223
Iris,4,150,0.8,0.8611111111111112,0.7301587301587302,0.7902466057079524,4,0.9,0.135,172.82,0.031286
Iris,4,150,0.6666666666666666,0.7027956989247311,0.7023809523809524,0.7025882644453433,5,0.5,1.5,186.9,0.028262
Iris,4,150,0.6666666666666666,0.7027956989247311,0.7023809523809524,0.7025882644453433,5,0.5,0.75,177.57,0.028575
Iris,4,150,0.6666666666666666,0.7027956989247311,0.7023809523809524,0.7025882644453433,5,0.5,0.375,172.62,0.028262
Iris,4,150,0.6666666666666666,0.7027956989247311,0.7023809523809524,0.7025882644453433,5,0.5,0.15,175.59,0.028262
Iris,4,150,0.6666666666666666,0.7027956989247311,0.7023809523809524,0.7025882644453433,5,0.5,0.075,177.55,0.028262
Iris,4,150,0.7333333333333333,0.8558558558558559,0.7681159420289855,0.8096156938414536,5,0.6,1.8,176.37,0.02903
Iris,4,150,0.7333333333333333,0.8558558558558559,0.7681159420289855,0.8096156938414536,5,0.6,0.9,172.24,0.029109
Iris,4,150,0.7333333333333333,0.8558558558558559,0.7681159420289855,0.8096156938414536,5,0.6,0.45,184.71,0.02903
Iris,4,150,0.7333333333333333,0.8558558558558559,0.7681159420289855,0.8096156938414536,5,0.6,0.18,194.17,0.02903
Iris,4,150,0.7333333333333333,0.8558558558558559,0.7681159420289855,0.8096156938414536,5,0.6,0.09,186.18,0.02903
Iris,4,150,0.6222222222222222,0.6457516339869281,0.6458333333333334,0.6457924810761803,5,0.7,2.1,177.64,0.0309
Iris,4,150,0.6222222222222222,0.6457516339869281,0.6458333333333334,0.6457924810761803,5,0.7,1.05,194.55,0.029462
Iris,4,150,0.6222222222222222,0.6457516339869281,0.6458333333333334,0.6457924810761803,5,0.7,0.525,174.5,0.029462
Iris,4,150,0.6222222222222222,0.6457516339869281,0.6458333333333334,0.6457924810761803,5,0.7,0.21,177.19,0.029612
Iris,4,150,0.6222222222222222,0.6457516339869281,0.6458333333333334,0.6457924810761803,5,0.7,0.105,172.72,0.029462
Iris,4,150,0.8333333333333334,0.8809523809523809,0.8611111111111112,0.870918755,5,0.8,2.4,186.21,0.02995
Iris,4,150,0.8333333333333334,0.8809523809523809,0.8611111111111112,0.870918755,5,0.8,1.2,174.35,0.02995
Iris,4,150,0.8333333333333334,0.8809523809523809,0.8611111111111112,0.870918755,5,0.8,0.6,174.89,0.02995
Iris,4,150,0.8333333333333334,0.8809523809523809,0.8611111111111112,0.870918755,5,0.8,0.24,186.5,0.031132
Iris,4,150,0.8333333333333334,0.8809523809523809,0.8611111111111112,0.870918755,5,0.8,0.12,174.78,0.02995
Iris,4,150,1,1,1,1,5,0.9,2.7,187.83,0.03055
Iris,4,150,1,1,1,1,5,0.9,1.35,170.42,0.03055
Iris,4,150,1,1,1,1,5,0.9,0.675,175.25,0.03055
Iris,4,150,1,1,1,1,5,0.9,0.27,172.86,0.03055
Iris,4,150,1,1,1,1,5,0.9,0.135,171.18,0.03055
Iris,4,150,0.6533333333333333,0.6811111111111111,0.6904761904761904,0.685761679,6,0.5,1.5,191.62,0.028286
Iris,4,150,0.6533333333333333,0.6811111111111111,0.6904761904761904,0.685761679,6,0.5,0.75,181.5,0.028286
Iris,4,150,0.6533333333333333,0.6811111111111111,0.6904761904761904,0.685761679,6,0.5,0.375,191.28,0.028286
Iris,4,150,0.6533333333333333,0.6811111111111111,0.6904761904761904,0.685761679,6,0.5,0.15,183.53,0.028286
Iris,4,150,0.6533333333333333,0.6811111111111111,0.6904761904761904,0.685761679,6,0.5,0.075,184.35,0.028286
Iris,4,150,0.7833333333333333,0.830952381,0.7820910973084887,0.8057817017193221,6,0.6,1.8,193.57,0.028694
Iris,4,150,0.7833333333333333,0.830952381,0.7820910973084887,0.8057817017193221,6,0.6,0.9,203.22,0.028694
Iris,4,150,0.7833333333333333,0.830952381,0.7820910973084887,0.8057817017193221,6,0.6,0.45,199.84,0.028694
Iris,4,150,0.7833333333333333,0.830952381,0.7820910973084887,0.8057817017193221,6,0.6,0.18,204.94,0.028694
Iris,4,150,0.7833333333333333,0.830952381,0.7820910973084887,0.8057817017193221,6,0.6,0.09,196.57,0.028694
